island,site,web,totalprey,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8
Guam,Riti,A,5,5,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,B,5,5,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,C,5,5,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,D,6,6,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,F,3,3,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,G,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,H,3,3,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,I,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,J,5,5,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,K,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,L,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,M,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,N,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,O,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,P,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,Q,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,R,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,S,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,T,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,U,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,W ,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,X,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,Y,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,Z,3,3,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,A',5,5,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,B',1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,C',1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,D',2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,E',1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,F',1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,G',3,3,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,H',0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,I',0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,J',0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,K',2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,L',0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,M',1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,N',0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,O',0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Ritd,P',0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,Q',0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,R',5,5,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,S',0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,T',0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,U',0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,V',0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,W',0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,X',0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Riti,Y',0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Nblas,Z',0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Nblas,A'A,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Nblas,A'B,0,0,NA,NA,NA,NA,NA,NA,NA
guam,Nblas,A'C,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Nblas,A'D,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Nblas,A'E,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Nblas,A'F,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Nblas,A'G,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Nblas,A'H,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Nblas,A'I,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Nblas,A'J,3,3,NA,NA,NA,NA,NA,NA,NA
Guam,Nblas,A'K,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Nblas,A'L,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Nblas,A'M,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Nblas,A'N,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Nblas,A'O,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,NBlas,A'P,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,A'Q,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,A'R,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,A'S,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,A'T,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,A'U,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,A'V,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,A'W,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,A'X,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,A'Y,1,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,A'Z,0,0,NA,NA,NA,NA,NA,NA,NA
