"","Island","Site","Web..","Native","Netting","Start.Date","End.Date","Total.Days","SpidPres","WebPres","WebSize.cm.","SpidPresBin","WebPresBin"
"1","Saipan","ladt","G'P","yes","no","23-Jul","1-Aug",9,"yes","no",71,1,NA
"2","Saipan","mtr","G'Q","yes","no","26-Jul","29-Jul",3,"no","yes",34,0,1
"3","Saipan","mtr","G'R","yes","no","26-Jul","27-Jul",1,"no","yes",41,0,1
"4","Saipan","forbi","G'S","yes","no","27-Jul","29-Jul",2,"no","yes",37,0,1
"5","Saipan","forbi","G'T","yes","no","27-Jul","31-Jul",4,"no","no",51,0,0
"6","Saipan","forbi","G'U","yes","no","27-Jul","29-Jul",2,"no","yes",55,0,1
"7","Saipan","ladt","G'V","yes","no","23-Jul","24-Jul",1,"no","yes",50,0,1
"8","Saipan","ladt","G'W","no","no","30-Jul","31-Jul",1,"no","yes",43,0,1
"9","Saipan","ladt","G'X","no","no","30-Jul","31-Jul",1,"no","yes",59,0,1
"10","Saipan","ladt","G'Y","no","no","30-Jul","31-Jul",1,"no","yes",44,0,1
"11","Saipan","ladt","G'Z","no","no","30-Jul","31-Jul",1,"no","yes",61,0,1
"12","Saipan","ladt","H'A","no","no","30-Jul","31-Jul",1,"no","yes",55,0,1
"13","Saipan","ladt","H'B","no","no","30-Jul","31-Jul",1,"no","yes",33,0,1
"14","Saipan","ladt","H'C","no","no","30-Jul","31-Jul",1,"no","yes",53,0,1
"15","Siapan","ladt","H'D","no","no","30-Jul","2-Aug",3,"no","yes",46,0,1
"16","Saipan","ladt","H'E","no","no","1-Aug","2-Aug",1,"no","yes",55,0,1
"17","Saipan","ladt","H'F","no","no","1-Aug","2-Aug",1,"no","yes",48,0,1
"18","Saipan","ladt","H'G","no","no","1-Aug","2-Aug",1,"no","yes",51,0,1
"19","Saipan","ladt","H'H","no","no","1-Aug","2-Aug",1,"no","yes",59,0,1
"20","Saipan","ladt","H'I","no","no","1-Aug","3-Aug",2,"no","yes",57,0,1
"21","Saipan","ladt","H'J","no","no","1-Aug","4-Aug",3,"no","yes",49,0,1
"22","Saipan","forbi","H'K","no","no","1-Aug","2-Aug",1,"no","yes",52,0,1
"23","Saipan","forbi","H'L","no","no","1-Aug","2-Aug",1,"no","yes",31,0,1
"24","Saipan","forbi","H'M","no","no","1-Aug","2-Aug",1,"no","no",27,0,0
"25","Saipan","forbi","H'N","no","no","1-Aug","3-Aug",2,"no","yes",51,0,1
"26","Saipan","forbi","H'O","no","no","1-Aug","4-Aug",3,"no","yes",47,0,1
"27","Saipan","forbi","H'P","no","no","1-Aug","5-Aug",4,"no","yes",62,0,1
"28","Saipan","forbi","H'Q","no","yes","1-Aug","2-Aug",1,"no","no",55,0,0
