"","island","site","web","obs","preynum"
"1","Guam","riti","A",1,5
"2","Guam","riti","B",1,5
"3","Guam","riti","C",1,5
"4","Guam","riti","D",1,6
"5","Guam","riti","F",1,3
"6","Guam","riti","G",1,1
"7","Guam","riti","H",1,3
"8","Guam","riti","I",1,2
"9","Guam","riti","J",1,5
"10","Guam","riti","K",1,2
"11","Guam","riti","L",1,2
"12","Guam","riti","M",1,2
"13","Guam","riti","N",1,1
"14","Guam","riti","O",1,0
"15","Guam","riti","P",1,0
"16","Guam","riti","Q",1,0
"17","Guam","riti","R",1,2
"18","Guam","riti","S",1,0
"19","Guam","riti","T",1,0
"20","Guam","riti","U",1,0
"21","Guam","riti","W ",1,1
"22","Guam","riti","X",1,2
"23","Guam","riti","Y",1,2
"24","Guam","riti","Z",1,3
"25","Guam","riti","A'",1,5
"26","Guam","riti","B'",1,1
"27","Guam","riti","C'",1,1
"28","Guam","riti","D'",1,2
"29","Guam","riti","E'",1,1
"30","Guam","riti","F'",1,1
"31","Guam","riti","G'",1,3
"32","Guam","riti","H'",1,0
"33","Guam","riti","I'",1,0
"34","Guam","riti","J'",1,0
"35","Guam","riti","K'",1,2
"36","Guam","riti","L'",1,0
"37","Guam","riti","M'",1,1
"38","Guam","riti","N'",1,0
"39","Guam","riti","O'",1,0
"40","Guam","ritd","P'",1,0
"41","Guam","riti","Q'",1,0
"42","Guam","riti","R'",1,5
"43","Guam","riti","S'",1,0
"44","Guam","riti","T'",1,0
"45","Guam","riti","U'",1,0
"46","Guam","riti","V'",1,0
"47","Guam","riti","W'",1,0
"48","Guam","riti","X'",1,0
"49","Guam","riti","Y'",1,0
"50","Guam","nblas","Z'",1,0
"51","Guam","nblas","A'A",1,0
"52","Guam","nblas","A'B",1,0
"53","guam","nblas","A'C",1,1
"54","Guam","nblas","A'D",1,0
"55","Guam","nblas","A'E",1,1
"56","Guam","nblas","A'F",1,0
"57","Guam","nblas","A'G",1,0
"58","Guam","nblas","A'H",1,2
"59","Guam","nblas","A'I",1,1
"60","Guam","nblas","A'J",1,3
"61","Guam","nblas","A'K",1,0
"62","Guam","nblas","A'L",1,0
"63","Guam","nblas","A'M",1,0
"64","Guam","nblas","A'N",1,2
"65","Guam","nblas","A'O",1,0
"66","Guam","nblas","A'P",1,1
"67","Guam","sblas","A'Q",1,0
"68","Guam","sblas","A'R",1,0
"69","Guam","sblas","A'S",1,0
"70","Guam","sblas","A'T",1,0
"71","Guam","sblas","A'U",1,0
"72","Guam","sblas","A'V",1,0
"73","Guam","sblas","A'W",1,0
"74","Guam","sblas","A'X",1,0
"75","Guam","sblas","A'Y",1,0
"76","Guam","sblas","A'Z",1,0
"77","Guam","sblas","B'A",1,0
"78","Guam","sblas","B'B",1,0
"79","Guam","sblas","B'C",1,0
"80","Guam","sblas","B'D",1,0
"81","Guam","sblas","B'E",1,0
"82","Guam","sblas","B'F",1,0
"83","Guam","sblas","B'G",1,0
"84","Guam","sblas","B'H",1,0
"85","Guam","sblas","B'I",1,0
"86","Guam","sblas","B'J",1,0
"87","Guam","sblas","B'K",1,0
"88","Guam","sblas","B'L",1,0
"89","Guam","sblas","B'M",1,0
"90","Guam","sblas","B'N",1,0
"91","Guam","sblas","B'O",1,0
"92","Guam","sblas","B'P",1,0
"93","Guam","sblas","B'Q",1,0
"94","Guam","sblas","B'R",1,0
"95","Guam","sblas","B'S",1,0
"96","Guam","sblas","B'T",1,0
"97","Guam","sblas","B'U",1,0
"98","Guam","sblas","B'V",1,0
"99","Guam","sblas","B'W",1,0
"100","Guam","sblas","B'X",1,0
"101","Guam","sblas","B'Y",1,0
"102","Guam","sblas","B'Z",1,0
"103","Guam","sblas","C'A",1,0
"104","Guam","sblas","C'B",1,0
"105","Guam","sblas","C'C",1,0
"106","Guam","sblas","C'D",1,0
"107","Guam","sblas","C'E",1,2
"108","Guam","anao","C'F",1,0
"109","Guam","anao","C'G",1,0
"110","Guam","anao","C'H",1,0
"111","Guam","anao","C'I",1,0
"112","Guam","anao","C'J",1,5
"113","Guam","anao","C'K",1,5
"114","Guam","anao","C'L",1,2
"115","Guam","anao","C'M",1,4
"116","Guam","anao","C'N",1,6
"117","Guam","anao","C'O",1,3
"118","Guam","anao","C'P",1,6
"119","Guam","anao","C'Q",1,0
"120","Guam","anao","C;R",1,2
"121","Guam","anao","C'S",1,2
"122","Guam","anao","C'T",1,1
"123","Guam","anao","C'U",1,0
"124","Guam","anao","C'V",1,2
"125","Guam","anao","C'W",1,2
"126","Guam","anao","C'X",1,1
"127","Guam","anao","C'Y",1,0
"128","Guam","anao","C'Z",1,0
"129","Guam","anao","D'A",1,3
"130","Guam","anao","D'B",1,0
"131","Guam","anao","D'C",1,0
"132","Guam","anao","D'D",1,1
"133","Guam","anao","D'E",1,1
"134","Guam","anao","D'F",1,0
"135","Guam","anao","D'G",1,0
"136","Guam","anao","D'H",1,2
"137","Guam","anao","D'J",1,1
"138","Guam","anao","D'K",1,0
"139","Guam","anao","D'L",1,1
"140","Guam","anao","D'M",1,1
"141","Guam","anao","D'N",1,0
"142","Guam","anao","D'O",1,0
"143","Guam","anao","D'P",1,0
"144","Guam","anao","D'Q",1,2
"145","Guam","anao","D'R",1,0
"146","Guam","anao","D'S",1,4
"147","Guam","anao","D'T",1,0
"148","Guam","anao","D'U",1,0
"149","Guam","anao","D'V",1,0
"150","Guam","anao","D'W",1,4
"151","Guam","anao","D'Y",1,0
"152","Guam","anao","D'X",1,4
"153","Guam","anao","D'Y",1,0
"154","Guam","anao","D'Z",1,0
"155","Guam","anao","E'A",1,4
"156","Guam","anao","E'B",1,0
"157","Guam","anao","E'C",1,3
"158","Guam","anao","E'D",1,0
"159","Guam","anao","E'E",1,1
"160","Guam","anao","E'F",1,2
"161","Guam","anao","E'G",1,2
"162","Guam","anao","E'H",1,0
"163","Guam","anao","E'I",1,5
"164","Guam","anao","E'J",1,0
"165","Guam","anao","E'K",1,1
"166","Guam","anao","E'L",1,1
"167","Guam","anao","E'M",1,0
"168","Guam","anao","E'N",1,1
"169","Guam","anao","E'O",1,1
"170","Guam","anao","E'P",1,0
"171","Guam","anao","E'Q",1,1
"172","Guam","anao","E'R",1,1
"173","Guam","anao","E'S",1,1
"174","Guam","anao","E'T",1,1
"175","Guam","anao","E'U",1,1
"176","Guam","anao","E'V",1,1
"177","Guam","anao","E'W",1,1
"178","Guam","anao","E'X",1,1
"179","Guam","anao","E'Y",1,4
"180","Guam","anao","E'Z",1,1
"181","Guam","anao","F'A",1,2
"182","Guam","anao","F'B",1,2
"183","Guam","anao","F'C",1,1
"184","Guam","anao","F'D",1,0
"185","Guam","anao","F'E",1,0
"186","Guam","anao","F'F",1,0
"187","Guam","anao","F'G",1,2
"188","Guam","anao","F'H",1,0
"189","Guam","anao","F'I",1,4
"190","Guam","anao","F'J",1,0
"191","Guam","anao","F'K",1,0
"192","Guam","anao","F'L",1,2
"193","Guam","anao","F'M",1,0
"194","Guam","anao","F'N",1,1
"195","Guam","anao","F'O",1,0
"196","Guam","anao","F'P",1,0
"197","Guam","anao","F'Q",1,0
"198","Guam","anao","F'R",1,0
"199","Guam","anao","F'S",1,6
"200","Guam","anao","F'T",1,0
"201","Guam","anao","F'U",1,0
"202","Guam","anao","F'V",1,0
"203","Guam","anao","F'W",1,0
"204","Guam","anao","F'X",1,0
"205","Guam","anao","F'Y",1,1
"206","Guam","anao","F'Z",1,0
"207","Guam","anao","G'A",1,1
"208","Guam","anao","G'B",1,0
"209","Guam","anao","G'C",1,0
"210","Guam","anao","G'D",1,0
"211","Guam","anao","G'E",1,0
"212","Guam","anao","G'F",1,1
"213","Guam","anao","G'G",1,0
"214","Guam","anao","G'H",1,0
"215","Guam","anao","G'I",1,0
"216","Guam","anao","G'J",1,0
"217","Guam","anao","G'K",1,1
"218","Guam","anao","G'L",1,0
"219","Guam","anao","G'M",1,1
"220","Saipan","mtr","G'N",1,0
"221","Saipan","mtr","G'O",1,0
"222","Saipan","ladt","G'P",1,0
"223","Saipan","mtr","G'Q",1,0
"224","Saipan","mtr","G'R",1,0
"225","Saipan","forbi","G'S",1,0
"226","Saipan","forbi","G'T",1,0
"227","Saipan","forbi","G'U",1,0
"228","Saipan","ladt","G'V",1,0
"229","Saipan","ladt","G'W",1,0
"230","Saipan","ladt","G'X",1,2
"231","Saipan","ladt","G'Y",1,0
"232","Saipan","ladt","G'Z",1,0
"233","Saipan","ladt","H'A",1,0
"234","Saipan","ladt","H'B",1,1
"235","Saipan","ladt","H'C",1,0
"236","Saipan","ladt","H'D",1,0
"237","Saipan","ladt","H'E",1,0
"238","Saipan","ladt","H'F",1,0
"239","Saipan","ladt","H'G",1,0
"240","Saipan","ladt","H'H",1,0
"241","Siapan","ladt","H'I",1,0
"242","Saipan","ladt","H'J",1,0
"243","Saipan","forbi","H'K",1,0
"244","Saipan","forbi","H'L",1,0
"245","Saipan","forbi","H'M",1,0
"246","Saipan","forbi","H'N",1,0
"247","Saipan","forbi","H'O",1,0
"248","Saipan","forbi","H'P",1,0
"249","Saipan","forbi","H'Q",1,0
"250","Saipan","forbi","H'R",1,0
"251","Saipan","forbi","H'S",1,0
"252","Saipan","forbi","H'T",1,0
"253","Saipan","forbi","H'U",1,0
"254","Saipan","ladt","H'V",1,1
"255","Saipan","ladt","H'W",1,0
"256","Saipan","ladt","H'X",1,0
"257","Saipan","ladt","H'Y",1,0
"258","Saipan","ladt","H'Z",1,0
"259","Saipan","ladt","I'A",1,0
"260","Saipan","ladt","I'B",1,0
"261","Saipan","ladt","I'C",1,0
"262","Saipan","ladt","I'D",1,0
"263","Saipan","ladt","I'E",1,0
"264","Saipan","ladt","I'F",1,0
"265","Saipan","ladt","I'G",1,0
"266","Saipan","ladt","I'H",1,0
"267","Saipan","ladt","I'I",1,1
"268","Saipan","ladt","I'J",1,0
"269","Saipan","forbid","I'K",1,0
"270","Saipan","forbi","I'L",1,0
"271","Saipan","ladt","I'M",1,1
"272","Saipan","ladt","I'N",1,0
"273","Saipan","forbi","I'O",1,0
"274","Saipan","forbi","I'P",1,0
"496","Saipan","ladt","G'P",2,0
"497","Saipan","mtr","G'Q",2,0
"499","Saipan","forbi","G'S",2,0
"500","Saipan","forbi","G'T",2,0
"501","Saipan","forbi","G'U",2,3
"510","Saipan","ladt","H'D",2,0
"515","Siapan","ladt","H'I",2,0
"516","Saipan","ladt","H'J",2,0
"520","Saipan","forbi","H'N",2,0
"521","Saipan","forbi","H'O",2,1
"522","Saipan","forbi","H'P",2,0
"524","Saipan","forbi","H'R",2,0
"525","Saipan","forbi","H'S",2,0
"526","Saipan","forbi","H'T",2,0
"527","Saipan","forbi","H'U",2,0
"528","Saipan","ladt","H'V",2,0
"529","Saipan","ladt","H'W",2,0
"530","Saipan","ladt","H'X",2,0
