"island","site","web","webv2","native","netting","startdate","enddate","spidpres","webpres","websize","duration","spidpresbin","webpresbin"
"saipan","ladt","G'P","GP","yes","no",2013-07-23,2013-08-01,"yes","no",71,9,1,NA
"saipan","mtr","G'Q","GQ","yes","no",2013-07-26,2013-07-29,"no","yes",34,3,0,1
"saipan","mtr","G'R","GR","yes","no",2013-07-26,2013-07-27,"no","yes",41,1,0,1
"saipan","forbi","G'S","GS","yes","no",2013-07-27,2013-07-29,"no","yes",37,2,0,1
"saipan","forbi","G'T","GT","yes","no",2013-07-27,2013-07-31,"no","no",51,4,0,0
"saipan","forbi","G'U","GU","yes","no",2013-07-27,2013-07-29,"no","yes",55,2,0,1
"saipan","ladt","G'V","GV","yes","no",2013-07-23,2013-07-24,"no","yes",50,1,0,1
"saipan","ladt","G'W","GW","no","no",2013-07-30,2013-07-31,"no","yes",43,1,0,1
"saipan","ladt","G'X","GX","no","no",2013-07-30,2013-07-31,"no","yes",59,1,0,1
"saipan","ladt","G'Y","GY","no","no",2013-07-30,2013-07-31,"no","yes",44,1,0,1
"saipan","ladt","G'Z","GZ","no","no",2013-07-30,2013-07-31,"no","yes",61,1,0,1
"saipan","ladt","H'A","HA","no","no",2013-07-30,2013-07-31,"no","yes",55,1,0,1
"saipan","ladt","H'B","HB","no","no",2013-07-30,2013-07-31,"no","yes",33,1,0,1
"saipan","ladt","H'C","HC","no","no",2013-07-30,2013-07-31,"no","yes",53,1,0,1
"saipan","ladt","H'D","HD","no","no",2013-07-30,2013-08-02,"no","yes",46,3,0,1
"saipan","ladt","H'E","HE","no","no",2013-08-01,2013-08-02,"no","yes",55,1,0,1
"saipan","ladt","H'F","HF","no","no",2013-08-01,2013-08-02,"no","yes",48,1,0,1
"saipan","ladt","H'G","HG","no","no",2013-08-01,2013-08-02,"no","yes",51,1,0,1
"saipan","ladt","H'H","HH","no","no",2013-08-01,2013-08-02,"no","yes",59,1,0,1
"saipan","ladt","H'I","HI","no","no",2013-08-01,2013-08-03,"no","yes",57,2,0,1
"saipan","ladt","H'J","HJ","no","no",2013-08-01,2013-08-04,"no","yes",49,3,0,1
"saipan","forbi","H'K","HK","no","no",2013-08-01,2013-08-02,"no","yes",52,1,0,1
"saipan","forbi","H'L","HL","no","no",2013-08-01,2013-08-02,"no","yes",31,1,0,1
"saipan","forbi","H'M","HM","no","no",2013-08-01,2013-08-02,"no","no",27,1,0,0
"saipan","forbi","H'N","HN","no","no",2013-08-01,2013-08-03,"no","yes",51,2,0,1
"saipan","forbi","H'O","HO","no","no",2013-08-01,2013-08-04,"no","yes",47,3,0,1
"saipan","forbi","H'P","HP","no","no",2013-08-01,2013-08-05,"no","yes",62,4,0,1
"saipan","forbi","H'Q","HQ","no","yes",2013-08-01,2013-08-02,"no","no",55,1,0,0
"saipan","forbi","H'R","HR","no","yes",2013-08-01,2013-08-04,"no","yes",45,3,0,1
"saipan","forbi","H'S","HS","no","yes",2013-08-01,2013-08-05,"no","no",49,4,0,0
"saipan","forbi","H'T","HT","no","yes",2013-08-01,2013-08-06,"no","no",46,5,0,0
"saipan","forbi","H'U","HU","no","yes",2013-08-01,2013-08-07,"yes","no",56,6,1,NA
"saipan","ladt","H'V","HV","no","yes",2013-07-30,2013-08-02,"no","yes",51,3,0,1
"saipan","ladt","H'W","HW","no","yes",2013-07-30,2013-08-02,"no","no",57,3,0,0
"saipan","ladt","H'X","HX","no","yes",2013-07-30,2013-08-03,"no","yes",44,4,0,1
"saipan","ladt","H'Y","HY","no","yes",2013-07-30,2013-08-06,"no","no",48,7,0,0
"saipan","ladt","H'Z","HZ","no","yes",2013-07-30,2013-08-06,"yes","yes",57,7,1,NA
"saipan","ladt","I'A","IA","no","yes",2013-07-30,2013-08-07,"yes","yes",49,8,1,NA
"saipan","ladt","I'B","IB","no","yes",2013-08-01,2013-08-02,"no","yes",34,1,0,1
"saipan","ladt","I'C","IC","no","yes",2013-08-01,2013-08-04,"no","yes",41,3,0,1
"saipan","ladt","I'D","ID","no","yes",2013-08-01,2013-08-05,"no","yes",46,4,0,1
"saipan","ladt","I'E","IE","no","yes",2013-08-01,2013-08-06,"no","no",48,5,0,0
"saipan","ladt","I'F","IF","no","yes",2013-08-01,2013-08-07,"no","no",55,6,0,0
"saipan","ladt","I'G","IG","no","yes",2013-08-01,2013-08-07,"no","no",66,6,0,0
"saipan","ladt","I'H","IH","yes","no",2013-08-02,2013-08-04,"no","yes",51,2,0,1
"saipan","ladt","I'I","II","yes","no",2013-08-03,2013-08-04,"no","yes",48,1,0,1
"saipan","ladt","I'J","IJ","yes","no",2013-08-03,2013-08-05,"no","yes",51,2,0,1
"saipan","forbi","I'K","IK","yes","no",2013-08-04,2013-08-05,"no","yes",42,1,0,1
"saipan","forbi","I'L","IL","yes","no",2013-08-05,2013-08-06,"no","yes",54,1,0,1
"guam","anao","I'Q","IQ","no","no",2013-08-07,2013-08-14,"yes","no",25,7,1,NA
"guam","anao","I'R","IR","no","no",2013-08-07,2013-08-10,"no","no",34,3,0,0
"guam","anao","I'S","IS","no","no",2013-08-07,2013-08-14,"yes","no",57,7,1,NA
"guam","anao","I'T","IT","no","no",2013-08-07,2013-08-10,"no","no",63,3,0,0
"guam","anao","I'U","IU","no","no",2013-08-07,2013-08-12,"no","no",32,5,0,0
"guam","anao","I'V","IV","no","no",2013-08-07,2013-08-12,"no","no",70,5,0,0
"guam","anao","I'W","IW","no","yes",2013-08-07,2013-08-12,"no","no",48,5,0,0
"guam","anao","I'X","IX","no","yes",2013-08-07,2013-08-10,"no","yes",49,3,0,1
"guam","anao","I'Y","IY","no","yes",2013-08-07,2013-08-11,"no","no",47,4,0,0
"guam","anao","I'Z","IZ","no","yes",2013-08-07,2013-08-14,"yes","no",48,7,1,NA
"guam","anao","J'A","JA","no","yes",2013-08-07,2013-08-10,"no","no",51,3,0,0
"guam","anao","J'B","JB","no","yes",2013-08-07,2013-08-10,"no","no",42,3,0,0
"guam","anao","J'C","JC","no","no",2013-08-07,2013-08-10,"no","no",38,3,0,0
